Taille de Matrice,Temps 1 Jetson,Temps 2 Jetson,Temps 3 Jetson,Temps 4 Jetson,Temps 5 Jetson,Temps 6 Jetson,Temps CPU matrice transposée
1,0.166000,0.007000,0.663000,0.663000,0.009000,0.660000,0.000000
2,0.003000,0.003000,0.004000,0.004000,0.005000,0.004000,0.000000
3,0.003000,0.004000,0.005000,0.003000,0.005000,0.004000,0.000000
4,0.003000,0.004000,0.004000,0.005000,0.004000,0.003000,0.000000
5,0.003000,0.004000,0.005000,0.004000,0.005000,0.005000,0.000000
6,0.004000,0.004000,0.005000,0.005000,0.005000,0.007000,0.000000
7,0.004000,0.004000,0.006000,0.004000,0.007000,0.007000,0.000000
8,0.004000,0.006000,0.004000,0.005000,0.008000,0.006000,0.000000
9,0.004000,0.004000,0.006000,0.006000,0.008000,0.008000,0.000000
10,0.004000,0.004000,0.006000,0.006000,0.008000,0.007000,0.000000
11,0.004000,0.005000,0.007000,0.005000,0.008000,0.008000,0.000000
12,0.004000,0.005000,0.007000,0.005000,0.007000,0.007000,0.000000
13,0.004000,0.004000,0.006000,0.007000,0.005000,0.007000,0.000000
14,0.004000,0.006000,0.006000,0.005000,0.006000,0.007000,0.000000
15,0.005000,0.004000,0.005000,0.006000,0.007000,0.007000,0.000000
16,0.004000,0.004000,0.006000,0.006000,0.006000,0.008000,0.000000
17,0.005000,0.004000,0.006000,0.004000,0.006000,0.008000,0.000000
18,0.004000,0.005000,0.005000,0.005000,0.006000,0.009000,0.000000
19,0.004000,0.005000,0.005000,0.006000,0.005000,0.007000,0.000000
20,0.005000,0.005000,0.004000,0.004000,0.007000,0.008000,0.000000
21,0.004000,0.004000,0.005000,0.006000,0.007000,0.005000,0.000000
22,0.004000,0.005000,0.007000,0.006000,0.005000,0.006000,0.000000
23,0.005000,0.004000,0.005000,0.006000,0.007000,0.007000,0.000000
24,0.005000,0.005000,0.007000,0.006000,0.005000,0.008000,0.001000
25,0.004000,0.004000,0.004000,0.005000,0.007000,0.007000,0.000000
26,0.005000,0.004000,0.005000,0.005000,0.007000,0.009000,0.000000
27,0.004000,0.004000,0.005000,0.005000,0.005000,0.007000,0.000000
28,0.004000,0.005000,0.004000,0.006000,0.007000,0.006000,0.001000
29,0.005000,0.005000,0.005000,0.005000,0.006000,0.010000,0.001000
30,0.005000,0.004000,0.005000,0.005000,0.005000,0.007000,0.000000
31,0.004000,0.005000,0.006000,0.006000,0.006000,0.007000,0.000000
32,0.005000,0.006000,0.005000,0.007000,0.006000,0.007000,0.000000
33,0.005000,0.004000,0.006000,0.006000,0.008000,0.008000,0.000000
34,0.005000,0.005000,0.006000,0.007000,0.006000,0.007000,0.000000
35,0.005000,0.006000,0.005000,0.005000,0.009000,0.007000,0.000000
36,0.006000,0.006000,0.006000,0.008000,0.007000,0.007000,0.000000
37,0.004000,0.006000,0.005000,0.006000,0.006000,0.007000,0.000000
38,0.005000,0.006000,0.006000,0.006000,0.007000,0.008000,0.000000
39,0.006000,0.007000,0.005000,0.006000,0.008000,0.008000,0.000000
40,0.006000,0.006000,0.006000,0.008000,0.009000,0.007000,0.001000
41,0.006000,0.006000,0.007000,0.006000,0.007000,0.009000,0.000000
42,0.006000,0.006000,0.006000,0.007000,0.007000,0.009000,0.000000
43,0.006000,0.006000,0.007000,0.007000,0.007000,0.010000,0.000000
44,0.006000,0.006000,0.007000,0.007000,0.008000,0.010000,0.000000
45,0.006000,0.006000,0.007000,0.007000,0.009000,0.012000,0.001000
46,0.005000,0.006000,0.007000,0.007000,0.010000,0.010000,0.000000
47,0.006000,0.006000,0.007000,0.008000,0.009000,0.009000,0.001000
48,0.006000,0.006000,0.008000,0.009000,0.008000,0.010000,0.001000
49,0.006000,0.006000,0.007000,0.008000,0.008000,0.010000,0.000000
50,0.007000,0.007000,0.007000,0.008000,0.010000,0.010000,0.000000
51,0.006000,0.007000,0.008000,0.008000,0.010000,0.010000,0.001000
52,0.008000,0.007000,0.009000,0.008000,0.010000,0.010000,0.000000
53,0.009000,0.008000,0.010000,0.009000,0.009000,0.010000,0.001000
54,0.007000,0.008000,0.008000,0.009000,0.010000,0.012000,0.000000
55,0.007000,0.008000,0.009000,0.009000,0.009000,0.013000,0.000000
